EFO Accession,CLO Accession,,Step,Type
EFO_0005356,CLO_0002179,,EFO-CLS-CLO,Valid
EFO_0002124,CLO_0002168,,EFO-CLS-CLO,Valid
EFO_0006389,CLO_0002785,,EFO-CLS-CLO,Valid
EFO_0002160,CLO_0002767,,EFO-CLS-CLO,Valid
EFO_0006562,CLO_0002698,,EFO-CLS-CLO,Valid
EFO_0006570,CLO_0002891,,EFO-CLS-CLO,Valid
EFO_0006569,CLO_0002890,,EFO-CLS-CLO,Valid
EFO_0006568,CLO_0002889,,EFO-CLS-CLO,Valid
EFO_0006547,CLO_0002180,,EFO-CLS-CLO,Valid
EFO_0005357,CLO_0002181,,EFO-CLS-CLO,Valid
EFO_0002822,CLO_0002659,,EFO-CLS-CLO,Valid
EFO_0006551,CLO_0002395,,EFO-CLS-CLO,Valid
EFO_0002127,CLO_0002329,,EFO-CLS-CLO,Valid
EFO_0002198,CLO_0003816,,EFO-CLS-CLO,Valid
EFO_0006443,CLO_0004280,,EFO-CLS-CLO,Valid
EFO_0002125,CLO_0002186,,EFO-CLS-CLO,Valid
EFO_0006584,CLO_0003907,,EFO-CLS-CLO,Valid
EFO_0005358,CLO_0002185,,EFO-CLS-CLO,Valid
EFO_0002126,CLO_0002187,,EFO-CLS-CLO,Valid
EFO_0001100,CLO_0002194,,EFO-CLS-CLO,Valid
EFO_0005359,CLO_0002190,,EFO-CLS-CLO,Valid
EFO_0002179,CLO_0003434,,EFO-CLS-CLO,Valid
EFO_0002229,CLO_0007575,,EFO-CLS-CLO,Valid
EFO_0002138,CLO_0002549,,EFO-CLS-CLO,Valid
EFO_0006641,CLO_0007424,,EFO-CLS-CLO,Valid
EFO_0002230,CLO_0007615,,EFO-CLS-CLO,Valid
EFO_0002132,CLO_0002420,,EFO-CLS-CLO,Valid
EFO_0002155,CLO_0002413,,EFO-CLS-CLO,Valid
EFO_0002131,CLO_0002406,,EFO-CLS-CLO,Valid
EFO_0002134,CLO_0002527,,EFO-CLS-CLO,Valid
EFO_0002340,CLO_0009063,,EFO-CLS-CLO,Valid
EFO_0002143,CLO_0002589,,EFO-CLS-CLO,Valid
EFO_0002860,CLO_0009058,,EFO-CLS-CLO,Valid
EFO_0002717,CLO_0009015,,EFO-CLS-CLO,Valid
EFO_0002157,CLO_0002677,,EFO-CLS-CLO,Valid
EFO_0003055,CLO_0007379,,EFO-CLS-CLO,Valid
EFO_0002342,CLO_0009093,,EFO-CLS-CLO,Valid
EFO_0002142,CLO_0002585,,EFO-CLS-CLO,Valid
EFO_0001194,CLO_0004329,,EFO-CLS-CLO,Valid
EFO_0002141,CLO_0002584,,EFO-CLS-CLO,Valid
EFO_0001261,CLO_0009724,,EFO-CLS-CLO,Valid
EFO_0006590,CLO_0004102,,EFO-CLS-CLO,Valid
EFO_0006377,CLO_0002560,,EFO-CLS-CLO,Valid
EFO_0006589,CLO_0004094,,EFO-CLS-CLO,Valid
EFO_0001192,CLO_0004009,,EFO-CLS-CLO,Valid
EFO_0002140,CLO_0002563,,EFO-CLS-CLO,Valid
EFO_0006585,CLO_0003917,,EFO-CLS-CLO,Valid
EFO_0006373,CLO_0002573,,EFO-CLS-CLO,Valid
EFO_0006375,CLO_0002558,,EFO-CLS-CLO,Valid
EFO_0006560,CLO_0050626,,EFO-CLS-CLO,Valid
EFO_0003081,CLO_0009043,,EFO-CLS-CLO,Valid
EFO_0002824,CLO_0003665,,EFO-CLS-CLO,Valid
EFO_0005333,CLO_0010422,,EFO-CLS-CLO,Valid
